commit,step,label,p50,p95,p99
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,9,nanvix-bench::read_exact(),2471,2480,2482
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,10,Total,400,418,425
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,0,nanvix-bench::write_all(),,,
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,1,linuxd::worker_thread::handle_read_request(),7543,7566,7575
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,2,uservm::io_thread::system_vm::read(),58165,58293,58295
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,3,uservm::memory_thread::data_rx::recv(),3,3,3
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,4,uservm::lib::vm_input::vmexit(),53,61,64
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,6,uservm::lib::vm_output::send(),29,30,30
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,7,uservm::io_thread::system_vm::write(),11,12,12
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,8,linuxd::worker_thread::handle_write_request(),7360,7480,7488
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,9,nanvix-bench::read_exact(),58306,58313,58316
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,10,Total,399,417,432
a23e489b54dc821804995274ecc8d12157158e26,0,nanvix-bench::write_all(),,,
a23e489b54dc821804995274ecc8d12157158e26,1,linuxd::worker_thread::handle_read_request(),36736,36770,36817
a23e489b54dc821804995274ecc8d12157158e26,2,uservm::io_thread::system_vm::read(),29086,29089,29093
a23e489b54dc821804995274ecc8d12157158e26,3,uservm::memory_thread::data_rx::recv(),3,3,3
a23e489b54dc821804995274ecc8d12157158e26,4,uservm::lib::vm_input::vmexit(),50,59,63
a23e489b54dc821804995274ecc8d12157158e26,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
a23e489b54dc821804995274ecc8d12157158e26,6,uservm::lib::vm_output::send(),29,30,30
a23e489b54dc821804995274ecc8d12157158e26,7,uservm::io_thread::system_vm::write(),11,12,12
a23e489b54dc821804995274ecc8d12157158e26,8,linuxd::worker_thread::handle_write_request(),36672,36689,36702
a23e489b54dc821804995274ecc8d12157158e26,9,nanvix-bench::read_exact(),28989,29110,29112
a23e489b54dc821804995274ecc8d12157158e26,10,Total,400,422,572
2b44b595130a34981344c929285bba2095961ef3,0,nanvix-bench::write_all(),,,
2b44b595130a34981344c929285bba2095961ef3,1,linuxd::worker_thread::handle_read_request(),4452,4483,4488
2b44b595130a34981344c929285bba2095961ef3,2,uservm::io_thread::system_vm::read(),61389,61393,61399
2b44b595130a34981344c929285bba2095961ef3,3,uservm::memory_thread::data_rx::recv(),2,3,3
2b44b595130a34981344c929285bba2095961ef3,4,uservm::lib::vm_input::vmexit(),53,61,65
2b44b595130a34981344c929285bba2095961ef3,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
2b44b595130a34981344c929285bba2095961ef3,6,uservm::lib::vm_output::send(),29,29,30
2b44b595130a34981344c929285bba2095961ef3,7,uservm::io_thread::system_vm::write(),11,12,13
2b44b595130a34981344c929285bba2095961ef3,8,linuxd::worker_thread::handle_write_request(),4383,4401,4406
2b44b595130a34981344c929285bba2095961ef3,9,nanvix-bench::read_exact(),61272,61413,61419
2b44b595130a34981344c929285bba2095961ef3,10,Total,400,417,427
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,0,nanvix-bench::write_all(),,,
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,1,linuxd::worker_thread::handle_read_request(),26262,26300,26312
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,2,uservm::io_thread::system_vm::read(),39442,39584,39586
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,3,uservm::memory_thread::data_rx::recv(),3,3,3
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,4,uservm::lib::vm_input::vmexit(),49,62,66
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,6,uservm::lib::vm_output::send(),29,37,38
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,7,uservm::io_thread::system_vm::write(),11,13,14
